"unique_key","bird","car_included","cat","country","date_from","date_range","date_to","dog","expired","first_seen","fish","horse","last_changed","listing_id","livestock","location","new_this_run","poultry","profile","public_transport","rabbit","reptile","reviewing","small_pets","title","town","url"
"1122384|Nov 10, 2025→Nov 24, 2025",0,False,0,"United Kingdom","Nov 10, 2025","Nov 10, 2025→Nov 24, 2025","Nov 24, 2025",2,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-04-28T03:15:23.691660Z",1122384.0,0,"Crediton, United Kingdom",False,0,"europe",False,0,0,False,0,"Grade 2 listed thatched house in beautiful Mid Devon","Crediton","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/crediton/l/1122384/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjEsInJlc3VsdHNQZXJQYWdlIjoxMiwiZGVidWciOmZhbHNlLCJzdGF0cyI6W119"
"1122384|Nov 10, 2025→Nov 24, 2025",0,False,0,"United Kingdom","Nov 10, 2025","Nov 10, 2025→Nov 24, 2025","Nov 24, 2025",2,False,"2025-04-20T10:10:31.487973Z",0,0,"2025-04-28T03:15:23.691660Z",1122384.0,0,"Crediton, United Kingdom",False,0,"europe",False,0,0,False,0,"Grade 2 listed thatched house in beautiful Mid Devon","Crediton","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/crediton/l/1122384/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjIsInJlc3VsdHNQZXJQYWdlIjoxMiwiZGVidWciOmZhbHNlLCJzdGF0cyI6W119"
"1130005|Nov 10, 2025→Nov 14, 2025",0,False,0,"United Kingdom","Nov 10, 2025","Nov 10, 2025→Nov 14, 2025","Nov 14, 2025",2,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-04-28T03:15:23.691660Z",1130005.0,0,"London, United Kingdom",False,0,"europe",False,0,0,True,0,"Lovely NW London home with two amazing dogs","London","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/london/l/1130005/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"1130005|Nov 10, 2025→Nov 14, 2025",0,False,0,"United Kingdom","Nov 10, 2025","Nov 10, 2025→Nov 14, 2025","Nov 14, 2025",2,False,"2025-04-20T10:10:31.487973Z",0,0,"2025-04-28T03:15:23.691660Z",1130005.0,0,"London, United Kingdom",False,0,"europe",False,0,0,True,0,"Lovely NW London home with two amazing dogs","London","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/london/l/1130005/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE1LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"1149306|Nov 01, 2025→Nov 17, 2025",0,False,0,"United Kingdom","Nov 01, 2025","Nov 01, 2025→Nov 17, 2025","Nov 17, 2025",1,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-04-28T03:15:23.691660Z",1149306.0,0,"Newquay, United Kingdom",False,0,"europe",False,0,0,False,0,"Beach walks in beautiful Porth","Newquay","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/newquay/l/1149306/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"1176152|Dec 19, 2025→Dec 22, 2025",0,False,0,"United Kingdom","Dec 19, 2025","Dec 19, 2025→Dec 22, 2025","Dec 22, 2025",2,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-04-20T10:10:31.487973Z",1176152.0,0,"New Alresford, United Kingdom",False,0,"europe",False,0,0,False,0,"Bertie and Harry Labrador looking for holiday friends.","New Alresford","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/new-alresford/l/1176152/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"1178883|Nov 30, 2025→Dec 15, 2025",0,False,0,"United Kingdom","Nov 30, 2025","Nov 30, 2025→Dec 15, 2025","Dec 15, 2025",4,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-04-20T10:10:31.487973Z",1178883.0,0,"Northill, United Kingdom",False,0,"europe",False,0,0,False,0,"Stay on 100 acre Stud farm and look after our two Boxers, Puzzle and Roxy.","Northill","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/northill/l/1178883/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"1201103|Dec 01, 2025→Dec 22, 2025",0,False,2,"United Kingdom","Dec 01, 2025","Dec 01, 2025→Dec 22, 2025","Dec 22, 2025",1,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-04-28T03:15:23.691660Z",1201103.0,0,"Aylesbury, United Kingdom",False,0,"europe",False,0,0,False,0,"A peaceful and comfortable house with low maintenance cats and a friendly dog!","Aylesbury","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/aylesbury/l/1201103/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"120217|Nov 22, 2025→Dec 09, 2025",0,False,1,"United Kingdom","Nov 22, 2025","Nov 22, 2025→Dec 09, 2025","Dec 09, 2025",0,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-04-28T03:15:23.691660Z",120217.0,0,"Chiswick, United Kingdom",False,0,"europe",False,0,0,True,0,"Stay in leafy Chiswick with a mini tiger (Toyger)","Chiswick","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/chiswick/l/120217/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"120217|Nov 22, 2025→Dec 09, 2025",0,False,1,"United Kingdom","Nov 22, 2025","Nov 22, 2025→Dec 09, 2025","Dec 09, 2025",0,False,"2025-04-20T10:10:31.487973Z",0,0,"2025-04-28T03:15:23.691660Z",120217.0,0,"Chiswick, United Kingdom",False,0,"europe",False,0,0,True,0,"Stay in leafy Chiswick with a mini tiger (Toyger)","Chiswick","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/chiswick/l/120217/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjEsInJlc3VsdHNQZXJQYWdlIjoxMiwiZGVidWciOmZhbHNlLCJzdGF0cyI6W119"
"1207229|Nov 04, 2025→Nov 08, 2025",0,False,1,"United Kingdom","Nov 04, 2025","Nov 04, 2025→Nov 08, 2025","Nov 08, 2025",0,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-04-20T10:10:31.487973Z",1207229.0,0,"Stamford, United Kingdom",False,0,"europe",False,0,0,False,0,"Marlies marvellous mansion in the beautiful village of Wittering, Cambridgeshire","Stamford","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/stamford/l/1207229/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"1219779|Nov 21, 2025→Dec 06, 2025",0,False,0,"United Kingdom","Nov 21, 2025","Nov 21, 2025→Dec 06, 2025","Dec 06, 2025",2,False,"2025-04-24T11:22:02.160364Z",0,0,"2025-04-24T11:22:02.160364Z",1219779.0,0,"Church Minshull, United Kingdom",False,0,"europe",False,0,0,False,0,"Comfortable Cheshire Farmhouse, with large garden, scenic views, on quiet lane","Church Minshull","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/church-minshull/l/1219779/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjIsInJlc3VsdHNQZXJQYWdlIjoxMiwiZGVidWciOmZhbHNlLCJzdGF0cyI6W119"
